threshold,f1,precision,recall,mcc,surface
0.05,0.6475017111567419,0.48512820512820515,0.9732510288065843,0.4926138882180084,out_of_fold_train
0.055,0.6537664132688321,0.4921956295525494,0.9732510288065843,0.5025237443352787,out_of_fold_train
0.06,0.6601398601398601,0.5,0.9711934156378601,0.5119210588902251,out_of_fold_train
0.065,0.6647887323943662,0.5053533190578159,0.9711934156378601,0.5191504728269285,out_of_fold_train
0.07,0.670940170940171,0.5130718954248366,0.9691358024691358,0.5280840671077599,out_of_fold_train
0.075,0.6767241379310345,0.5198675496688742,0.9691358024691358,0.5369497581484716,out_of_fold_train
0.08,0.681653372008702,0.5263157894736842,0.9670781893004116,0.5439183177854534,out_of_fold_train
0.08499999999999999,0.689149560117302,0.5353075170842825,0.9670781893004116,0.5552605205464198,out_of_fold_train
0.09,0.695780903034789,0.5433526011560693,0.9670781893004116,0.5652169344988907,out_of_fold_train
0.095,0.7016491754122939,0.5518867924528302,0.9629629629629629,0.5729799463884411,out_of_fold_train
0.09999999999999999,0.7049924357034796,0.5574162679425837,0.9588477366255144,0.5770034786481099,out_of_fold_train
0.105,0.7125382262996941,0.5669099756690997,0.9588477366255144,0.5882002441701774,out_of_fold_train
0.10999999999999999,0.7148347425057648,0.5705521472392638,0.9567901234567902,0.5911429970340664,out_of_fold_train
0.11499999999999999,0.7214895267649342,0.5790784557907845,0.9567901234567902,0.60095086348396,out_of_fold_train
0.12,0.7217459080280592,0.5809284818067754,0.9526748971193416,0.6004683930811539,out_of_fold_train
0.12499999999999999,0.7235708692247456,0.584070796460177,0.9506172839506173,0.602737971234043,out_of_fold_train
0.13,0.7292817679558011,0.5915492957746479,0.9506172839506173,0.61112851132204,out_of_fold_train
0.135,0.7352472089314194,0.6002604166666666,0.948559670781893,0.6194669697881962,out_of_fold_train
0.13999999999999999,0.7383627608346709,0.6052631578947368,0.9465020576131687,0.6236381506632195,out_of_fold_train
0.145,0.7413376309427882,0.609271523178808,0.9465020576131687,0.6279805379193703,out_of_fold_train
0.14999999999999997,0.7467532467532468,0.6166219839142091,0.9465020576131687,0.635867176176961,out_of_fold_train
0.15499999999999997,0.7500000000000001,0.6219512195121951,0.9444444444444444,0.6402294395674659,out_of_fold_train
0.15999999999999998,0.752670501232539,0.6265389876880985,0.9423868312757202,0.6437641125345064,out_of_fold_train
0.16499999999999998,0.7563996696944675,0.6317241379310344,0.9423868312757202,0.6491780523124234,out_of_fold_train
0.16999999999999998,0.7623019182652211,0.6409537166900421,0.9403292181069959,0.6574073577511627,out_of_fold_train
0.175,0.7615062761506276,0.6417489421720733,0.9362139917695473,0.6556300629025325,out_of_fold_train
0.18,0.763268744734625,0.6462196861626248,0.9320987654320988,0.6575981026981111,out_of_fold_train
0.185,0.769100169779287,0.6546242774566474,0.9320987654320988,0.666071585140823,out_of_fold_train
0.19,0.772378516624041,0.6593886462882096,0.9320987654320988,0.6708279989270518,out_of_fold_train
0.195,0.7750213857998289,0.6632503660322109,0.9320987654320988,0.6746589304991344,out_of_fold_train
0.19999999999999996,0.7770154373927959,0.6661764705882353,0.9320987654320988,0.6775474343209831,out_of_fold_train
0.20499999999999996,0.7779690189328743,0.6686390532544378,0.9300411522633745,0.6786681209979842,out_of_fold_train
0.20999999999999996,0.7796024200518582,0.6721311475409836,0.9279835390946503,0.6807851158602756,out_of_fold_train
0.21499999999999997,0.7839721254355402,0.6797583081570997,0.9259259259259259,0.6868853743977977,out_of_fold_train
0.21999999999999997,0.7825327510917032,0.6798179059180577,0.9218106995884774,0.6843423550078399,out_of_fold_train
0.22499999999999998,0.7848990342405617,0.6845329249617151,0.9197530864197531,0.687572216413088,out_of_fold_train
0.22999999999999998,0.7890556045895851,0.6908809891808346,0.9197530864197531,0.6936220326143605,out_of_fold_train
0.235,0.79185119574845,0.6951788491446346,0.9197530864197531,0.6976885587217252,out_of_fold_train
0.24,0.7953736654804271,0.700626959247649,0.9197530864197531,0.7028100166457104,out_of_fold_train
0.245,0.7989276139410187,0.7061611374407583,0.9197530864197531,0.707974902995271,out_of_fold_train
0.24999999999999994,0.8,0.7090620031796503,0.9176954732510288,0.7093562928274536,out_of_fold_train
0.25499999999999995,0.8,0.7115384615384616,0.9135802469135802,0.7090250379314761,out_of_fold_train
0.25999999999999995,0.7996373526745242,0.7147487844408428,0.9074074074074074,0.7080527487765514,out_of_fold_train
0.26499999999999996,0.8007279344858964,0.7177814029363785,0.9053497942386831,0.7095192710886021,out_of_fold_train
0.26999999999999996,0.8029330889092576,0.7239669421487603,0.9012345679012346,0.7125231147122745,out_of_fold_train
0.27499999999999997,0.8007380073800738,0.725752508361204,0.8930041152263375,0.7089098589735112,out_of_fold_train
0.27999999999999997,0.8025949953660797,0.730185497470489,0.8909465020576132,0.7115824251172077,out_of_fold_train
0.285,0.8041044776119403,0.735494880546075,0.8868312757201646,0.7137009579835095,out_of_fold_train
0.29,0.8030018761726078,0.7379310344827587,0.8806584362139918,0.7119410136162799,out_of_fold_train
0.295,0.801505174035748,0.7383015597920277,0.8765432098765432,0.7096605368805413,out_of_fold_train
0.3,0.8026440037771482,0.7417102966841187,0.8744855967078189,0.7113544998420342,out_of_fold_train
0.30499999999999994,0.8034026465028354,0.743006993006993,0.8744855967078189,0.7124910181737935,out_of_fold_train
0.30999999999999994,0.8045540796963947,0.7464788732394366,0.8724279835390947,0.7142190305446962,out_of_fold_train
0.31499999999999995,0.8022813688212928,0.7455830388692579,0.8683127572016461,0.7108294077705152,out_of_fold_train
0.31999999999999995,0.8022922636103151,0.7486631016042781,0.8641975308641975,0.7108993289915445,out_of_fold_train
0.32499999999999996,0.8034515819750719,0.7522441651705566,0.8621399176954733,0.7126913590997662,out_of_fold_train
0.32999999999999996,0.8034515819750719,0.7522441651705566,0.8621399176954733,0.7126913590997662,out_of_fold_train
0.33499999999999996,0.8030739673390971,0.7531531531531531,0.8600823045267489,0.7121700639808016,out_of_fold_train
0.33999999999999997,0.8042430086788813,0.7568058076225045,0.8580246913580247,0.714001312049375,out_of_fold_train
0.3449999999999999,0.8054211035818006,0.7605118829981719,0.8559670781893004,0.715860805628083,out_of_fold_train
0.3499999999999999,0.8085519922254617,0.7661141804788214,0.8559670781893004,0.7206192436977121,out_of_fold_train
